Table 1: Overall Reports and Dollar Loss,,,,,,,,
total_reports,total_dollar_loss,average_loss,,,,,,
350361,2687420244,7670.432051,,,,,,
,,,,,,,,
Table 2: Cases With Reported Loss,,,,,,,,
total_cases,cases_with_loss,percent_with_loss,,,,,,
350361,86845,24.79,,,,,,
,,,,,,,,
Table 3: Fraud Reports by Category,,,,,,,,
fraud_category,total_reports,total_loss,,,,,,
Investments,20394,1382138342,,,,,,
Romance,6779,292694595.3,,,,,,
Spear Phishing,6314,281667762.3,,,,,,
Job,14195,143117440.3,,,,,,
Service,26962,90351104.51,,,,,,
Extortion,32779,86275860.65,,,,,,
Unknown,9618,61770284.09,,,,,,
Bank Investigator,15134,60135266.43,,,,,,
Other,10675,57625960.51,,,,,,
Merchandise,18420,50443600.36,,,,,,
Recovery Pitch,2060,42724978.3,,,,,,
"Emergency (Jail, Accident, Hospital, Help)",7979,28483855.55,,,,,,
Vendor Fraud,10101,26423650.82,,,,,,
Prize,4735,22411132.58,,,,,,
Loan,1953,19611411.28,,,,,,
Foreign Money Offer,1691,15075054.54,,,,,,
Timeshare,221,8806583.37,,,,,,
GRANT,1793,7233821.29,,,,,,
Counterfeit Merchandise,13497,3465055.28,,,,,,
False Billing,2172,1946897.87,,,,,,
Psychics,170,1699662.49,,,,,,
Pyramid,299,1534949,,,,,,
Vacation,172,812753.41,,,,,,
Charity / Donation,471,367460.22,,,,,,
Incomplete,719,185956.13,,,,,,
Collection Agency,1503,137672.94,,,,,,
Credit Card,63,135902.44,,,,,,
Unauthorized Charge,99,72000.54,,,,,,
Directory,50,49038.39,,,,,,
Health,78,8282.82,,,,,,
Fraudulent Cheque,4,7938,,,,,,
Telecom Fraud,93,4823.24,,,,,,
Survey,113,1101.56,,,,,,
Spoofing,206,45,,,,,,
Office Supplies,10,0,,,,,,
Phishing,30138,0,,,,,,
Personal Info,28626,0,,,,,,
Modem-Hijacking,2,0,,,,,,
Identity Fraud,80073,0,,,,,,
,,,,,,,,
Table 4: Fraud Reports by Solicitation Method,,,,,,,,
method,total_reports,total_loss,,,,,,
Internet-social network,39565,828767029.4,,,,,,
Internet,33356,678326725.9,,,,,,
Email,39304,347865932.3,,,,,,
Direct call,81723,309120633.9,,,,,,
Other/unknown,101691,260984104.5,,,,,,
Text message,28227,129506151.8,,,,,,
Door to door/in person,4330,66197140.27,,,,,,
Not Available,18249,56257009.95,,,,,,
Television,84,2979809.38,,,,,,
Mail,3444,2507501.13,,,,,,
Print,65,2282823.45,,,,,,
Video Call,142,2097198.22,,,,,,
Radio,8,512143.78,,,,,,
Fax,173,16039.98,,,,,,
,,,,,,,,
Table 5: Fraud Reports by Victim Age Range,,,,,,,,
age_range,total_reports,total_loss,,,,,,
Not Available / non disponible,104676,1011784226,,,,,,
60 - 69,40389,429129052.1,,,,,,
50 - 59,36854,382669470.3,,,,,,
40 - 49,40085,276357711.2,,,,,,
70 - 79,25233,265346880.7,,,,,,
30 - 39,45888,170892070.1,,,,,,
20 - 29,37165,75389518.83,,,,,,
80 - 89,7961,57624303.33,,,,,,
10 - 19,10629,8244022.5,,,,,,
90 - 99,1028,4744147.5,,,,,,
Deceased / Décédé,188,4398904.58,,,,,,
Business / Entreprise,27,547072.4,,,,,,
1 - 9,174,190822.42,,,,,,
